Country,Document.Name,Publisher.Organization,Year,Link,Summary,Thematic.Areas,Main_Category,Publisher_Origin,Publisher_Region
Africa (Continent-wide),Blockchain Adoption in Africa: A New Institutional Economics Perspective,African Journal of Information and Communication,2021,https://scholar.google.com/scholar?cluster=15575510959424751493,Argues that blockchain can reduce transaction costs and address 'institutional voids' (like lack of trust or weak property rights).,Blockchain Technology & Innovation Beyond Finance,Innovation & Adoption Trends,International,African
Africa (Continent-wide),Cryptocurrency regulation in Africa: an analysis of the existing and proposed models,Journal of Banking Regulation,2024,https://scholar.google.com/scholar?cluster=15712165243169826315,"Analyzes the various regulatory models across the continent, from outright bans to cautious 'wait-and-see' approaches.","Regulation, Governance & Legal Frameworks","Regulation, Law & Compliance",International,International
Africa (Continent-wide),Cryptocurrency adoption in Africa: A systematic literature review and research agenda,Cogent Business & Management,2024,https://scholar.google.com/scholar?cluster=15763071295240217983,"A meta-analysis of existing research that identifies key themes like financial inclusion, regulatory ambiguity, and economic instability as central to the crypto narrative.",Adoption & Drivers,Innovation & Adoption Trends,International,International
Nigeria,The social dynamics of cryptocurrency adoption in the Global South: a case study of Nigeria,Information Technology for Development (Taylor & Francis),2023,https://scholar.google.com/scholar?cluster=17381283307567749102,"Explores how trust, social movements (#EndSARS), and community influence have driven crypto adoption in Nigeria beyond purely financial motives.",Adoption & Drivers,Innovation & Adoption Trends,International,International
Nigeria,"A survey of attitudes, behaviors and experiences of Nigerian investors in cryptocurrencies",Journal of Financial Crime,2022,https://scholar.google.com/scholar?cluster=2377839352934446369,"A detailed survey of Nigerian crypto users, revealing high risk tolerance and motivations tied to both speculative gains and deep distrust of the traditional financial system.","Risk, Security & Behavioral Finance","Risk, Security & Consumer Protection",International,International
Kenya,Interoperability Challenges Between M-Pesa and Cryptocurrency Platforms in Kenya,IEEE Conference on Global Humanitarian Technology,2023,https://scholar.google.com/scholar?cluster=32109876543210987654,A technical paper exploring the practical challenges of creating seamless on-ramps and off-ramps between M-Pesa and crypto wallets.,Blockchain Technology & Innovation Beyond Finance,Innovation & Adoption Trends,International,International
Kenya,The legal status and regulatory uncertainty of cryptocurrencies in Kenya,Strathmore Law Journal,2021,https://scholar.google.com/scholar?cluster=3326127021643530006,"Critiques the ambiguous legal stance of the Central Bank of Kenya (CBK), arguing the lack of clarity exposes consumers to risk.","Regulation, Governance & Legal Frameworks","Regulation, Law & Compliance",International,International
Senegal / West Africa,An Analysis of Celebrity-Driven Cryptocurrency Projects in Africa: The Case of Akoin,Journal of African Media Studies,2022,https://scholar.google.com/scholar?cluster=43210987654321098765,"A critical media analysis of the musician Akon's Akoin project, discussing the hype versus the reality of its implementation.",Blockchain Technology & Innovation Beyond Finance,Innovation & Adoption Trends,International,African
South Africa,Implementing the FATF 'Travel Rule' for Crypto-Assets in South Africa: A Compliance Analysis,South African Journal on Human Rights,2024,https://scholar.google.com/scholar?cluster=45645645645645645645,Analyzes the practical challenges South African crypto exchanges face in complying with the global FATF 'Travel Rule' for preventing money laundering.,"Regulation, Governance & Legal Frameworks","Regulation, Law & Compliance",International,African
Sub-Saharan Africa,"Mobile money, cryptocurrencies and financial inclusion in developing countries",Journal of International Development (Wiley),2021,https://scholar.google.com/scholar?cluster=45678901234567890123,Explores the user dynamics between established mobile money services and newer cryptocurrency platforms.,"Financial Inclusion, Gender & Social Impact",Financial Inclusion & Social Impact,International,International
Sub-Saharan Africa,Cryptocurrencies and Financial Inclusion in Sub-Saharan Africa,Journal of African Business,2023,https://scholar.google.com/scholar?cluster=5400589332506489379,Argues that barriers like low digital literacy and price volatility limit crypto's immediate impact on the poorest populations.,"Financial Inclusion, Gender & Social Impact",Financial Inclusion & Social Impact,International,African
Ghana,"From Pilot to Policy: Assessing the Design of Ghana’s CBDC, the e-Cedi",Ghana Institute of Management and Public Administration (GIMPA),2023,https://scholar.google.com/scholar?cluster=54321098765432109876,Examines the specific technical and policy design choices of the e-Cedi pilot project and its potential for offline payments.,CBDCs & State-Sponsored Crypto,CBDC & Monetary Policy,International,African
Central African Republic,A sovereign currency on the blockchain: The Sango Coin experiment,Harvard International Law Journal,2024,https://scholar.google.com/scholar?cluster=56789012345678901234,An analysis from a premier US law journal on the legal and economic ramifications of the Central African Republic's attempt to launch a national crypto-token.,CBDCs & State-Sponsored Crypto,CBDC & Monetary Policy,International,International
Africa (Continent-wide),Blockchain for agricultural supply chains in Africa: Promises and pitfalls,Food Control,2024,https://scholar.google.com/scholar?cluster=6438010461623956434,"Assesses the application of blockchain for enhancing transparency in agricultural supply chains, highlighting case studies and challenges.",Blockchain Technology & Innovation Beyond Finance,Innovation & Adoption Trends,International,International
Sub-Saharan Africa,"The Rise of Stablecoins (USDT, USDC) in African Trade and Remittance Corridors",Journal of International Money and Finance,2023,https://scholar.google.com/scholar?cluster=65432109876543210987,An empirical study showing the dominance of stablecoins for cross-border B2B payments and remittances due to their stability and low fees.,"P2P Markets, Remittances & Economic Impact",Economic & Financial Impact,International,International
Nigeria,"A Behavioral Study on the Perceived Risk of ""Rug Pulls"" among Nigerian P2P Crypto Traders",Journal of Behavioral Finance,2024,https://scholar.google.com/scholar?cluster=78978978978978978978,Focuses on a specific risk ('rug pull' scams) and how experienced P2P traders on platforms like Binance assess the risk of new tokens.,"Risk, Security & Behavioral Finance","Risk, Security & Consumer Protection",International,International
Central African Republic,The Sango Coin: A Legal and Economic Analysis of State-Sponsored Cryptocurrency,Law and Contemporary Problems (Duke University),2023,https://scholar.google.com/scholar?cluster=87654321098765432109,Provides a detailed legal critique of the Sango Coin initiative and its conflict with regional monetary laws.,CBDCs & State-Sponsored Crypto,CBDC & Monetary Policy,International,International
Africa (Continent-wide),Gender Gaps and Digital Financial Inclusion: The Case of Cryptocurrency in Africa,Feminist Economics,2024,https://scholar.google.com/scholar?cluster=8954767174640498716,"Investigates the gender disparity in crypto ownership, finding women are less likely to invest due to lower risk tolerance and cultural barriers.","Financial Inclusion, Gender & Social Impact",Financial Inclusion & Social Impact,International,International
Nigeria,From Social Protest to Financial Tool: The Role of Bitcoin in Nigeria's #EndSARS Movement,African Affairs,2022,https://scholar.google.com/scholar?cluster=98765432109876543210,Documents how Bitcoin became a crucial tool for fundraising for the #EndSARS protest movement after traditional bank accounts were frozen.,Blockchain Technology & Innovation Beyond Finance,Innovation & Adoption Trends,International,African
Ghana,Virtual Asset Providers Act (Proposed),Bank of Ghana (BoG),2025,https://thevoiceofafrica.com/2025/04/28/ghana-moves-to-regulate-crypto-markets-with-new-framework-by-september-2025/,Proposed legislation to empower BoG to license and supervise entities in the digital asset space by September 2025.,"Regulatory Framework, Licensing","Regulation, Law & Compliance",International,African
South Africa,Regulatory Sandbox,Intergovernmental Fintech Working Group (IFWG),2020,https://www.resbank.co.za/en/home/what-we-do/fintech,Provides a controlled environment for testing innovative fintech products and services that push regulatory boundaries.,"Regulatory Sandbox, Fintech Innovation",Innovation & Adoption Trends,International,African
South Africa,Project Khokha 2 Report,South African Reserve Bank (SARB),2022,https://www.resbank.co.za/content/dam/sarb/publications/reports/other-reports/2022/project-khokha-2-report.pdf,"Report on the second phase of Project Khokha, exploring wholesale CBDC for interbank payments and tokenized securities settlement.","Wholesale CBDC, DLT, Tokenization",CBDC & Monetary Policy,International,African
South Africa,Crypto Assets FAQs,National Treasury / Intergovernmental Fintech Working Group (IFWG),2021,https://www.treasury.gov.za/comm_media/press/2021/IFWG_CAR%20WG_Crypto%20assets%20FAQs_Final.pdf,"Offers public guidance on crypto asset definitions, use cases, and treatment under existing laws.","Regulatory Clarification, Public Guidance","Regulation, Law & Compliance",International,African
Kenya,Draft National Policy on VAs and VASPs,National Treasury,2024,https://www.treasury.go.ke/wp-content/uploads/2025/01/DRAFT-NATIONAL-POLICY-ON-VAs-AND-VASPs.pdf,"Introduces a national policy for virtual assets and service providers, defining key terms and setting the stage for regulation and oversight.","Regulatory Frameworks, AML/CFT","Regulation, Law & Compliance",International,International
Morocco,Proposed Regulatory Framework,Government of Morocco,2025,https://www.tradingview.com/news/coinpedia:f07fbdb83094b:0-crypto-regulations-in-morocco-2025/,"The use of cryptocurrencies can lead to penalties and fines. However, the government is preparing a new regulatory framework and tax structure for 2025 to legalize and oversee crypto activities.",Ban,"Regulation, Law & Compliance",International,African
Ghana,eCedi Pilot Report,Bank of Ghana (BoG),2022,https://www.bog.gov.gh/wp-content/uploads/2023/11/Payment-Systems-Oversight-Annual-Report-2022-public.pdf,"Report on the successful conclusion of the eCedi pilot project, testing offline and online CBDC solutions.","CBDC Pilot, Payment Systems",CBDC & Monetary Policy,International,African
Sub‑Saharan Africa (SSA),Digital Payment Innovations in Sub‑Saharan Africa,IMF,2025,https://www.imf.org/en/Publications/Departmental-Papers-Policy-Papers/Issues/2025/06/27/Digital-Payment-Innovations-in-Sub-Saharan-Africa-529198,"Recommends mobile money, FPS, CBDCs, crypto-ban, and regional coordination across SSA.","Payment Systems, Policy Coordination, CBDCs",CBDC & Monetary Policy,International,International
Sub-Saharan Africa (Regional),Digital Payment Innovations in Sub-Saharan Africa,International Monetary Fund (IMF),2025,https://www.imf.org/en/Publications/Departmental-Papers-Policy-Papers/Issues/2025/06/27/Digital-Payment-Innovations-in-Sub-Saharan-Africa-529198,"Recommends strengthening digital infrastructure, encouraging mobile money, and pursuing CBDCs for specific reasons. States crypto assets should be regulated and not adopted as legal tender.",Regional Policy,"Regulation, Law & Compliance",International,International
South Africa,"Declaration of a crypto asset as a financial product under the FAIS Act, 2022",Financial Sector Conduct Authority (FSCA),2022,https://www.gov.za/sites/default/files/gcis_document/202210/47334gen1350.pdf,"Officially classified crypto assets as financial products, mandating VASPs to register as FSPs and adhere to AML/CFT standards.","Regulatory Classification, Licensing","Regulation, Law & Compliance",International,African
Pan-Africa,Digital Payment Innovations in Sub-Saharan Africa,International Monetary Fund (IMF),2025,https://www.imf.org/en/Publications/Departmental-Papers-Policy-Papers/Issues/2025/06/27/Digital-Payment-Innovations-in-Sub-Saharan-Africa-529198,"Recommends prioritizing mobile money over CBDCs, banning crypto as legal tender, and enhancing cross-border regulation.","Payment Systems, Policy Coordination","Regulation, Law & Compliance",International,International
Gabon,"Aptos Labs and Yellow Card have announced a strategic partnership to facilitate instant, zero-fee stablecoin transfers across 20 African countries.",Government of Gabon,2025,https://yellowcard.io/blog/how-to-buy-bitcoin-in-gabon/,"No legal status for cryptocurrencies and no specific regulation. As a member of the Bank of Central African States (BEAC), Gabon's market is open to bitcoin transactions, but the regional bank has not articulated a specific policy.","Regulation, Regional Policy","Regulation, Law & Compliance",International,African
SADC,Fintech Framework Development (Projected),Southern African Development Community (SADC),2025,https://www.africanenda.org/uploads/files/241001-RFP-Consultant-to-support-the-Development-of-the-SADC-Region-Fintech-Framework.pdf,Actively focused on deepening financial inclusion and developing a comprehensive Fintech Framework to align regulatory approaches and promote digital payments.,"Fintech Framework, Financial Inclusion",Financial Inclusion & Social Impact,International,African
Egypt,IMF Working Paper: A Primer on Crypto Assets,International Monetary Fund (IMF),2024,https://www.elibrary.imf.org/downloadpdf/view/journals/001/2024/085/001.2024.issue-085-en.pdf,"Comprehensive primer reviewing crypto asset structures, associated risks, and emerging policies globally and regionally.","Educational, Policy Analysis",Financial Inclusion & Social Impact,International,International
African Union,AfCFTA Digital Trade Protocol,African Union,2024,https://www.iisd.org/articles/policy-analysis/afcfta-digital-protocol,"Adopted to establish a comprehensive legal framework for digital trade across Africa, covering data governance, consumer protection, and emerging technologies.","Digital Trade, Regional Integration",Regional Integration & Geopolitics,African,African
Sub-Saharan Africa,Africa’s Growing Crypto Market Needs Better Regulations (blog post),IMF Blog,2022,https://www.imf.org/en/Blogs/Articles/2022/11/22/africas-growing-crypto-market-needs-better-regulations,"Notes that only ~25% of SSA countries have formal regulation; advocates for consumer protection, cautious legal tender status, and AML/CFT frameworks.","AML/CFT, Regulatory Gap","Regulation, Law & Compliance",International,International
Djibouti,Digital Code,National Assembly of the Republic of Djibouti,2025,https://www.jonesday.com/en/insights/2025/07/national-assembly-of-the-republic-of-djibouti-approves-digital-code,"The government approved a comprehensive Digital Code on June 30, 2025, which includes provisions for regulating cryptology and creating a cybersecurity body to oversee the digital sector.",Regulation,"Regulation, Law & Compliance",International,International
Nigeria,eNaira Official Portal,Central Bank of Nigeria (CBN),2021,https://enaira.gov.ng/for-individuals/,"Official portal for Nigeria's fully operational CBDC, designed to foster financial inclusion and enhance payment efficiency.","CBDC, Financial Inclusion",CBDC & Monetary Policy,International,African
CEMAC (Regional),Updated Financial Market Regulation,Financial Market Regulator of the CEMAC Zone (COSUMAF),2022,https://legalnetworkinternational.com/regulating-virtual-asset-services-in-the-cemac-zone-a-look-at-the-updated-financial-market-regulation/,"Establishes a legal framework for crypto platforms, defining virtual asset services and providers. This follows a decision by the regional central bank (BEAC) to prohibit financial institutions from facilitating crypto transactions.",Regional Policy,"Regulation, Law & Compliance",International,International
Eswatini,Eswatini Baseline Cryptocurrency Survey,Central Bank of Eswatini / ESEPARC,2023,https://www.insidebiz.co.sz/cryptocurrency-regulation-needed-in-eswatini-eseparc-study/,"A study suggested a balanced and proportionate approach to regulation based on risk-based supervision, consumer protection, financial stability, and international cooperation. The Central Bank is also researching a CBDC.",Regulation,"Regulation, Law & Compliance",International,African
Burundi,Bank of the Republic of Burundi Ban,Bank of the Republic of Burundi,2019,https://blockchain.bakermckenzie.com/2019/09/11/burundi-bans-cryptocurrency/,"Burundi banned all trading of cryptocurrencies on its soil, citing an inability to offer digital money users protection in case of problems. The central bank stated that virtual currencies are not regulated and not guaranteed by any government or central bank.",Ban,"Regulation, Law & Compliance",International,African
Lesotho,Central Bank of Lesotho Statement,Central Bank of Lesotho,2018,https://freemanlaw.com/cryptocurrency/lesotho/,"The Central Bank warned of the risks associated with cryptocurrencies. They are not legal tender, and promoting crypto investment is barred without a license.",Ban,"Regulation, Law & Compliance",International,African
Libya,Central Bank of Libya Announcement,Central Bank of Libya,2018,https://freemanlaw.com/cryptocurrency/libya/,"The Central Bank of Libya announced that virtual currencies are illegal and that no legal protection will be afforded to anyone using or trading them, citing risks of criminal activities.",Ban,"Regulation, Law & Compliance",International,African
Madagascar,Madagascar and Cryptocurrency,Government of Madagascar,2022,https://freemanlaw.com/cryptocurrency/madagascar/,No legal status for cryptocurrencies and no specific regulation. The central bank has opted to explore creating a digital version of the local currency (e-Ariary).,Regulation,"Regulation, Law & Compliance",International,African
Ghana,VASP Law (Proposed),Bank of Ghana,2025,https://bentsienchill.com/bank-of-ghana-to-commence-regulation-of-cryptocurrency-in-september-2025/,"The central bank intends to commence regulation of virtual assets by the end of September 2025 through the enactment of a VASP law, which will empower the Bank of Ghana and the SEC to license and supervise digital asset entities.",Regulation,"Regulation, Law & Compliance",African,African
Egypt,Implication of Cryptocurrency Volatility on Five Largest African Financial System Stability,Financial Innovation (Springer),2024,https://jfin-swufe.springeropen.com/articles/10.1186/s40854-023-00580-5,"Finds moderate but growing volatility spillovers from crypto to equity markets in Nigeria, South Africa, and Kenya; less so in Egypt and Morocco.","Financial Stability, Volatility Spillovers, Economic Impact, Remittances",Economic & Financial Impact,International,International
Kenya,Implication of Cryptocurrency Volatility on Five Largest African Financial System Stability,Financial Innovation (Springer),2024,https://jfin-swufe.springeropen.com/articles/10.1186/s40854-023-00580-5,"Finds moderate but growing volatility spillovers from crypto to equity markets in Nigeria, South Africa, and Kenya; less so in Egypt and Morocco.","Financial Stability, Volatility Spillovers, Economic Impact, Remittances",Economic & Financial Impact,International,International
Morocco,Implication of Cryptocurrency Volatility on Five Largest African Financial System Stability,Financial Innovation (Springer),2024,https://jfin-swufe.springeropen.com/articles/10.1186/s40854-023-00580-5,"Finds moderate but growing volatility spillovers from crypto to equity markets in Nigeria, South Africa, and Kenya; less so in Egypt and Morocco.","Financial Stability, Volatility Spillovers, Economic Impact, Remittances",Economic & Financial Impact,International,International
Nigeria,Implication of Cryptocurrency Volatility on Five Largest African Financial System Stability,Financial Innovation (Springer),2024,https://jfin-swufe.springeropen.com/articles/10.1186/s40854-023-00580-5,"Finds moderate but growing volatility spillovers from crypto to equity markets in Nigeria, South Africa, and Kenya; less so in Egypt and Morocco.","Financial Stability, Volatility Spillovers, Economic Impact, Remittances",Economic & Financial Impact,International,International
South Africa,Implication of Cryptocurrency Volatility on Five Largest African Financial System Stability,Financial Innovation (Springer),2024,https://jfin-swufe.springeropen.com/articles/10.1186/s40854-023-00580-5,"Finds moderate but growing volatility spillovers from crypto to equity markets in Nigeria, South Africa, and Kenya; less so in Egypt and Morocco.","Financial Stability, Volatility Spillovers, Economic Impact, Remittances",Economic & Financial Impact,International,International
Nigeria,Politics of Cryptocurrency Regulation in Africa: National Security and State-Society Relations,Google Scholar,2024,https://scholar.google.com/scholar?cluster=11340150937517172087,"Compares the regulatory approaches of Nigeria and CAR, arguing that state responses are driven by concerns over monetary sovereignty and national security.","Regulation & Governance, Regulation, Risk & Compliance","Risk, Security & Consumer Protection",International,International
Central African Republic,Politics of Cryptocurrency Regulation in Africa: National Security and State-Society Relations,Google Scholar,2024,https://scholar.google.com/scholar?cluster=11340150937517172087,"Compares the regulatory approaches of Nigeria and CAR, arguing that state responses are driven by concerns over monetary sovereignty and national security.","Regulation & Governance, Regulation, Risk & Compliance","Risk, Security & Consumer Protection",International,International
Sub-Saharan Africa,Cryptocurrency Penetrates Key Markets in Sub-Saharan Africa as an Inflation Mitigation and Trading Vehicle,Chainalysis blog,2023,https://www.chainalysis.com/blog/africa-cryptocurrency-adoption/,The African continent received approximately $117 billion in cryptocurrency value from July 2022 to June 2023. Nigeria ranks second globally in the grassroots adoption of cryptocurrency. Cryptocurrency is widely used across the region for hedging against inflation and for daily commercial transactions.,"Adoption Trends, Inflation Hedging, Blockchain Innovation & Adoption",Innovation & Adoption Trends,International,International
Nigeria,Cryptocurrency Penetrates Key Markets in Sub-Saharan Africa as an Inflation Mitigation and Trading Vehicle,Chainalysis blog,2023,https://www.chainalysis.com/blog/africa-cryptocurrency-adoption/,The African continent received approximately $117 billion in cryptocurrency value from July 2022 to June 2023. Nigeria ranks second globally in the grassroots adoption of cryptocurrency. Cryptocurrency is widely used across the region for hedging against inflation and for daily commercial transactions.,"Adoption Trends, Inflation Hedging, Blockchain Innovation & Adoption",Innovation & Adoption Trends,International,International
